nom_parfum,marque,nose,launch_year,rating_value,rating_count,main_accords,gender,longevity,sillage,price_feeling,top_notes,middle_notes,base_notes,url
Here Comes the Light 79181.html,Floraiku,,2022.0,4.38,8,"['fruity', 'leather', 'warm spicy', 'sweet', 'animalic', 'smoky', 'patchouli']",,,,,[],[],[],https://www.fragrantica.com/perfume/Floraiku/Here-Comes-the-Light-79181.html
I Dream of Paris 70807.html,Floraiku,Yann Vasnier,2021.0,3.61,159,"['fruity', 'rose', 'citrus', 'sweet', 'aromatic', 'fresh spicy', 'amber', 'green', 'woody', 'warm spicy']",female,moderate,average,overpriced,[],[],[],https://www.fragrantica.com/perfume/Floraiku/I-Dream-of-Paris-70807.html
Surprise 58419.html,Floraiku,,2019.0,3.62,13,"['sweet', 'oud', 'fruity', 'powdery', 'vanilla', 'honey']",,,average,,['Dates'],['Heliotrope'],['Agarwood (Oud)'],https://www.fragrantica.com/perfume/Floraiku/Surprise-58419.html
What A Day 67062.html,Floraiku,,2021.0,3.83,18,"['warm spicy', 'aromatic', 'woody', 'rose', 'fruity', 'iris', 'leather', 'powdery', 'earthy', 'fresh spicy']",,,,,"['Fruits', 'Black Pepper', 'Coriander', 'Cardamom', 'Nutmeg', 'Bergamot']","['Cedar', 'Saffron', 'Lily-of-the-Valley', 'Pimento', 'Rose', 'Orris']","['Geranium', 'Vanilla', 'Cinnamon', 'Vetiver', 'Leather']",https://www.fragrantica.com/perfume/Floraiku/What-A-Day-67062.html
Wind In My Hand 49211.html,Floraiku,,2018.0,3.5,10,"['amber', 'smoky', 'citrus', 'balsamic', 'warm spicy', 'aromatic', 'fresh spicy']",,,enormous,,['Mandarin Orange'],['Mate'],['Incense'],https://www.fragrantica.com/perfume/Floraiku/Wind-In-My-Hand-49211.html
AO 66478.html,Floraiku,,,4.08,308,"['sweet', 'fruity', 'woody', 'violet', 'amber', 'citrus', 'aromatic', 'powdery', 'vanilla', 'warm spicy']",unisex,moderate,average,way overpriced,[],[],[],https://www.fragrantica.com/perfume/Floraiku/AO-66478.html
In The Dark 73175.html,Floraiku,,,3.94,205,"['rose', 'amber', 'citrus', 'smoky', 'aromatic', 'warm spicy', 'green', 'balsamic', 'patchouli', 'fresh spicy']",unisex,moderate,average,overpriced,"['Mint', 'Sicilian Lemon']","['Turkish Rose', 'Nutmeg']","['Patchouli', 'Incense', 'Musk']",https://www.fragrantica.com/perfume/Floraiku/In-The-Dark-73175.html
In The Rain 48909.html,Floraiku,Sarah Burri,2018.0,3.42,159,"['woody', 'citrus', 'musky', 'powdery']",unisex,moderate,average,way overpriced,['Bergamot'],['Cedar'],"['Musk', 'Woody Notes']",https://www.fragrantica.com/perfume/Floraiku/In-The-Rain-48909.html
My Love Has the Colour of the Night 46168.html,Floraiku,Sophie Labbé,2017.0,3.66,371,"['woody', 'patchouli', 'earthy', 'aromatic', 'warm spicy']",male,moderate,average,way overpriced,['Guaiac Wood'],['Patchouli'],['Vetiver'],https://www.fragrantica.com/perfume/Floraiku/My-Love-Has-the-Colour-of-the-Night-46168.html
My Shadow on the Wall 46169.html,Floraiku,Alienor Massenet,2017.0,3.57,406,"['yellow floral', 'ozonic', 'powdery', 'aquatic', 'woody', 'green', 'floral', 'sweet', 'warm spicy']",unisex,moderate,average,way overpriced,['Violet Leaf'],['Mimosa'],['Sandalwood'],https://www.fragrantica.com/perfume/Floraiku/My-Shadow-on-the-Wall-46169.html
Sand and Skin 79180.html,Floraiku,,2023.0,4.07,318,"['woody', 'vanilla', 'powdery', 'amber', 'yellow floral', 'sweet', 'balsamic', 'musky', 'warm spicy']",female,long lasting,average,way overpriced,[],[],[],https://www.fragrantica.com/perfume/Floraiku/Sand-and-Skin-79180.html
Sound of a Ricochet 46170.html,Floraiku,Sophie Labbé,2017.0,3.71,504,"['vanilla', 'woody', 'powdery', 'sweet', 'warm spicy', 'amber', 'balsamic', 'aromatic']",unisex,long lasting,average,way overpriced,['Vanilla Absolute'],['Tonka Bean'],['Sandalwood'],https://www.fragrantica.com/perfume/Floraiku/Sound-of-a-Ricochet-46170.html
Golden Eyes 69527.html,Floraiku,,2021.0,3.66,160,"['woody', 'fresh spicy', 'aromatic', 'earthy', 'green', 'powdery', 'leather']",male,moderate,average,way overpriced,[],[],[],https://www.fragrantica.com/perfume/Floraiku/Golden-Eyes-69527.html
I Am Coming Home 46167.html,Floraiku,Sophie Labbé,2017.0,3.99,612,"['fresh spicy', 'fresh', 'green', 'warm spicy', 'aromatic', 'citrus']",unisex,moderate,average,way overpriced,['Ginger'],['White Tea'],['Cardamom'],https://www.fragrantica.com/perfume/Floraiku/I-Am-Coming-Home-46167.html
Levitating 77999.html,Floraiku,,2022.0,4.12,173,"['citrus', 'vanilla', 'green', 'fresh spicy', 'aromatic', 'warm spicy', 'woody', 'powdery', 'fresh']",unisex,moderate,average,overpriced,"['Angelica', 'Mandarin Orange', 'Bergamot']","['Mate', 'Black Tea', 'Cloves']","['Guaiac Wood', 'Virginia Cedar', 'Bourbon Vanilla']",https://www.fragrantica.com/perfume/Floraiku/Levitating-77999.html
One Umbrella for Two 46165.html,Floraiku,Alienor Massenet,2017.0,4.04,"2,167","['fruity', 'woody', 'green', 'floral', 'soft spicy', 'savory', 'fresh', 'aromatic', 'musky']",female,moderate,average,way overpriced,"['Black Currant', 'Cyclamen']","['Rice', 'Tea']","['Cedar', 'White Musk']",https://www.fragrantica.com/perfume/Floraiku/One-Umbrella-for-Two-46165.html
The Moon and I 46166.html,Floraiku,Sophie Labbé,2017.0,3.81,496,"['green', 'aromatic', 'fresh', 'fresh spicy', 'woody', 'ozonic']",unisex,weak,intimate,way overpriced,['Mate'],['Tea'],['Cedar'],https://www.fragrantica.com/perfume/Floraiku/The-Moon-and-I-46166.html
The Mountain Standing Still 56577.html,Floraiku,,2018.0,3.88,161,"['oud', 'green', 'warm spicy', 'fresh', 'metallic', 'fresh spicy', 'leather', 'ozonic', 'tobacco']",unisex,moderate,average,overpriced,[],[],[],https://www.fragrantica.com/perfume/Floraiku/The-Mountain-Standing-Still-56577.html
Between Two Trees 46172.html,Floraiku,Alienor Massenet,2017.0,3.99,671,"['aromatic', 'citrus', 'woody', 'fresh spicy', 'earthy', 'green']",unisex,moderate,average,way overpriced,['Grapefruit'],['Mate'],['Vetiver'],https://www.fragrantica.com/perfume/Floraiku/Between-Two-Trees-46172.html
Sleeping on the Roof 46171.html,Floraiku,Alienor Massenet,2017.0,3.57,578,"['white floral', 'fresh', 'musky', 'green', 'soapy']",female,moderate,average,way overpriced,['Lily-of-the-Valley'],['Orange Blossom'],"['Musk', 'Amber']",https://www.fragrantica.com/perfume/Floraiku/Sleeping-on-the-Roof-46171.html
1270 5325.html,Frapin,Sidonie Lancesseur,2010.0,4.23,"3,104","['sweet', 'fruity', 'woody', 'vanilla', 'honey', 'warm spicy', 'amber']",unisex,moderate,average,ok,"['Dried Plum', 'Pineapple', 'Orange', 'Cacao', 'Resin', 'Tonka Bean', 'Coffee']","['Hazelnut', 'Flowers', 'Spices', 'Dried Fruits', 'Lime (Linden) Blossom']","['Guaiac Wood', 'Vanilla', 'White Honey', 'Woodsy Notes']",https://www.fragrantica.com/perfume/Frapin/1270-5325.html
1270 Extreme 72841.html,Frapin,Jérôme Epinette,2022.0,4.08,316,"['woody', 'fruity', 'sweet', 'vanilla', 'aromatic', 'fresh', 'white floral', 'green', 'balsamic', 'tropical']",unisex,moderate,average,ok,"['Apple', 'Bergamot', 'Elemi resin', 'Pineapple']","['Jasmine Sambac', 'Vine', 'Rose', 'Cedar']","['Guaiac Wood', 'Tonka Bean', 'Vanilla', 'Patchouli']",https://www.fragrantica.com/perfume/Frapin/1270-Extreme-72841.html
1697 11418.html,Frapin,Bertrand Duchaufour,2011.0,3.62,834,"['warm spicy', 'woody', 'sweet', 'rum', 'amber', 'vanilla', 'fruity', 'cinnamon', 'powdery', 'floral']",unisex,long lasting,average,ok,"['French labdanum', 'Rum', 'Pink Pepper', 'Artemisia']","['Jasmine', 'Hawthorn', 'Cinnamon', 'Dried Fruits', 'Clove', 'Ylang-Ylang', 'Rose']","['Virginia Cedar', 'Patchouli', 'Musk', 'Tonka Bean', 'Amber', 'Vanille']",https://www.fragrantica.com/perfume/Frapin/1697-11418.html
6 Hours To Rio 100587.html,Frapin,,2024.0,3.86,21,"['woody', 'amber', 'fruity', 'tropical', 'citrus', 'warm spicy', 'sweet', 'oud', 'aromatic', 'fresh spicy']",unisex,moderate,average,ok,"['Mango', 'Pineapple', 'Mandarin', 'Ginger', 'Cardamom', 'Guava', 'Bergamot']","['Rose', 'Ambrette']","['Musk', 'Sandalwood', 'Amber', 'Amberwood', 'Vetiver', 'Oud']",https://www.fragrantica.com/perfume/Frapin/6-Hours-To-Rio-100587.html
