nom_parfum,marque,nose,launch_year,rating_value,rating_count,main_accords,gender,longevity,sillage,price_feeling,top_notes,middle_notes,base_notes,url
Uva Verde e Água de Coco,Natura,Verônica Kato,2019.0,4.04,54,"['fruity', 'aquatic', 'sweet', 'fresh', 'coconut']",unisex,moderate,intimate,good value,[],[],[],https://www.fragrantica.com/perfume/Natura/Uva-Verde-e-Agua-de-Coco-58166.html
Una,Natura,Pascal Gaurin,2012.0,4.09,567,"['vanilla', 'fruity', 'sweet', 'powdery', 'citrus', 'woody', 'soft spicy', 'floral', 'cherry', 'rose']",female,moderate,average,ok,"['Peach', 'Cassis', 'Tangerine', 'Cherry', 'Pink Pepper']","['Lily-of-the-Valley', 'Magnolia', 'Damask Rose']","['Musk', 'Sandalwood', 'Vanilla']",https://www.fragrantica.com/perfume/Natura/Una-26151.html
Una Artisan,Natura,Harry Fremont,2017.0,4.33,989,"['woody', 'green', 'rose', 'fruity', 'floral', 'fresh', 'citrus', 'musky', 'sweet', 'earthy']",female,long lasting,strong,ok,"['Marigold', 'Bergamot', 'Cassis', 'Green Leaves', 'Mandarin Orange', 'Pear', 'Pink Pepper']","['Jasmine', 'Peony', 'Rose', 'Lily-of-the-Valley', 'Hyacinth']","['Patchouli', 'Sandalowood', 'Vanilla', 'Cashmere Wood', 'Musk', 'Oakmoss']",https://www.fragrantica.com/perfume/Natura/Una-Artisan-46579.html
Una Blush,Natura,Antoine Maisondieu,2019.0,4.35,794,"['citrus', 'white floral', 'vanilla', 'fresh', 'warm spicy', 'powdery', 'sweet', 'amber', 'woody', 'fresh spicy']",female,long lasting,average,ok,"['Ginger', 'Citruses', 'Bergamot']","['Lily-of-the-Valley', 'Breu-Branco', 'Orange Blossom']","['Vanila', 'Sandalowood', 'Amber']",https://www.fragrantica.com/perfume/Natura/Una-Blush-57188.html
Una Brilho,Natura,Verônica Kato,2024.0,4.42,121,"['white floral', 'aromatic', 'amber', 'sweet', 'vanilla', 'soft spicy', 'woody', 'balsamic', 'animalic', 'herbal']",female,long lasting,strong,ok,[],[],[],https://www.fragrantica.com/perfume/Natura/Una-Brilho-98413.html
Una Contrastes,Natura,Verônica Kato,2022.0,4.25,20,"['sweet', 'woody', 'fruity', 'citrus', 'floral', 'vanilla', 'aromatic', 'fresh', 'powdery', 'soft spicy']",female,long lasting,average,ok,"['Priprioca', 'Bergamot', 'Apple', 'Orange', 'Anise', 'Mandarin Orange', 'Plum', 'Pear', 'Melon', 'Pink Pepper']","['Peony', 'Ylang-Ylang', 'Jasmine', 'Rose', 'Magnolia']","['Coumarin', 'Cedar', 'Patchouli', 'Vanilla', 'Sandalwood', 'Amber', 'Musk']",https://www.fragrantica.com/perfume/Natura/Una-Contrastes-78495.html
Una Infinito,Natura,Antoine Maisondieu,2021.0,4.53,474,"['sweet', 'white floral', 'fruity', 'woody', 'citrus', 'aromatic', 'vanilla', 'balsamic', 'warm spicy', 'floral']",female,long lasting,strong,ok,"['Freesia', 'Grapefruit', 'Bergamot', 'Lily-of-the-Valley', 'Mandarin Orange']","['Rose', 'Gardenia', 'Plum', 'Jasmine']","['Coumarin', 'Sandalwood', 'Sweet Notes']",https://www.fragrantica.com/perfume/Natura/Una-Infinito-66933.html
Una Instinct,Natura,Verônica Kato,2022.0,4.01,188,"['fruity', 'white floral', 'citrus', 'woody', 'vanilla', 'aromatic', 'sweet', 'fresh', 'green', 'powdery']",female,moderate,average,ok,"['Grapefruit', 'Bergamot', 'Priprioca', 'Cassis', 'Mandarin Orange', 'Red Apple', 'Blood Orange', 'Pear']","['Paramela', 'Jasmine', 'Ylang-Ylang', 'Rose', 'Lily-of-the-Valley', 'Gardenia']","['Coumarin', 'Patchouli', 'Vanilla', 'Sandalwood', 'Amber', 'Musk']",https://www.fragrantica.com/perfume/Natura/Una-Instinct-72217.html
Una Intenso,Natura,Verônica Kato,2015.0,4.22,130,"['sweet', 'citrus', 'fruity', 'woody', 'warm spicy', 'white floral', 'patchouli', 'chocolate', 'powdery', 'musky']",female,long lasting,strong,overpriced,"['Blackberry', 'Strawberry', 'Bergamot', 'Orange', 'Mandarin Orange', 'Pomelo']","['Peony', 'Jasmine', 'Rose', 'Lily-of-the-Valley', 'Apricot']","['Cedar', 'Dark Chocolate', 'Patchouli', 'Praline', 'Sandalwood', 'Musk']",https://www.fragrantica.com/perfume/Natura/Una-Intenso-33954.html
Una Senses,Natura,Pascal Gaurin,2018.0,4.49,782,"['amber', 'vanilla', 'woody', 'white floral', 'sweet', 'powdery', 'tuberose', 'warm spicy', 'aromatic', 'animalic']",female,long lasting,strong,ok,"['Cassis', 'Tangerine']","['Floral Notes', 'Tuberose', 'Jasmine']","['Cedar', 'Patchouli', 'Vanilla', 'Sweet Notes', 'Sandalwood', 'Benzoin', 'Amber', 'Cashmeran', 'Musk', 'Tonka Bean']",https://www.fragrantica.com/perfume/Natura/Una-Senses-52569.html
